instance_id,premise,hypothesis,true_label,pred_label,correct,model,dataset,conf_label0,conf_label1,conf_label2,flag_romanization,flag_codeswitching,flag_negation,taxonomy_tier,annotator_note,annotator_id
RTE-Nepali_test_465,"पूर्व रक्षामन्त्री एनरिक लोपेज अल्बुजार ट्रिन्टका हत्याराहरू माओवादी आतंकवादी संगठन, शाइनिङ पाथका सदस्य भएको अनुमान गरिएको छ, किनकि आतंकवाद विरोधी डिभिजनले उनीहरूमध्ये एकलाई गेरार्डो ओलिभोस सिल्भाको रूपमा पहिचान गरेको छ, जुन साक्षीहरूको रिपोर्टबाट बनाइएको कम्पोजिट मार्फत गरिएको थियो।",गेरार्डो ओलिभोस सिल्भा माओवादी आतंकवादी संगठन शाइनिङ पाथका सदस्य हुन्।,0,1,0,xlmr,rte,0.0359,0.9624,0.0017,False,False,False,,,
RTE-Nepali_test_217,"अमेरिकी विदेश सचिव हिलारी क्लिन्टनले अफगानिस्तानको भविष्यबारेको सम्मेलनमा भाग लिने सबै ७० राष्ट्रहरूलाई देशलाई सफल बनाउन मद्दत गर्न आग्रह गरेकी छिन्। उनले हेगमा आयोजित एक दिने कार्यक्रमका प्रतिनिधिहरूलाई बताइन् कि त्यहाँको अन्तर्राष्ट्रिय प्रयास हालका वर्षहरूमा ""अपर्याप्त जनशक्ति र कम लगानी"" भएको थियो। मद्दत प्रस्ताव गर्ने देशहरूमध्ये अमेरिकाको शत्रु इरान पनि रहेको छ। यो सम्मेलन अमेरिकाले अफगानिस्तानप्रतिको आफ्नो दृष्टिकोणमा ठूलो नीति परिवर्तनको घोषणा गरेपछि आएको हो। संयुक्त राष्ट्र संघद्वारा आहूत यो बैठक सन् २००१ मा अमेरिकी नेतृत्वको आक्रमणपछि पर्याप्त प्रगति नभएको व्यापक चिन्ताका बीच आयोजना भएको हो। अफगान पुनर्निर्माणका लागि सहयोग मुख्यतया पश्चिमी देशहरूभन्दा बाहिरबाट पनि खोजिएको छ, जसका सेनाहरू त्यहाँ छन्।",हिलारी क्लिन्टन अमेरिकी विदेश सचिव हुन्।,0,1,0,xlmr,rte,0.0119,0.9878,0.0003,False,False,True,,,
RTE-Nepali_test_403,"चीनले हिजो विश्वव्यापी अर्थतन्त्रमा अमेरिकाको ५० वर्षको प्रभुत्वलाई चुनौती दियो, जब उसले डलरलाई विश्वको मुख्य आरक्षित मुद्राको रूपमा अन्तर्राष्ट्रिय मुद्रा कोषको नियन्त्रणमा रहेको नयाँ विश्वव्यापी प्रणालीले प्रतिस्थापन गर्ने प्रस्ताव गर्यो। पश्चिममा फैलिएको मन्दीले सिर्जना गरेको आर्थिक शक्तिमा ठूलो परिवर्तनको शोषण गर्ने प्रयासको रूपमा हेरिने एक शक्ति प्रदर्शन गर्दै, बेइजिङले भन्यो कि डलरको भूमिका अन्ततः सन् १९६९ मा सिर्जना गरिएको आईएमएफको तथाकथित विशेष आहरण अधिकार (एसडीआर), एक अर्ध-मुद्राले लिन सक्छ।",विशेष आहरण अधिकार एक अर्ध-मुद्रा हो।,0,1,0,xlmr,rte,0.0301,0.9185,0.0514,False,False,False,,,
RTE-Nepali_test_244,"यसले निरक्षर र गरिब बासिन्दाहरूको एक निम्न वर्ग सिर्जना गर्नेछ, जो हाम्रो समाज र कार्यबलमा आप्रवासी बालबालिकाहरूको एकीकरणका लागि आवश्यक पर्ने अंग्रेजी भाषा कौशल सहित आधारभूत सीपहरूबाट वञ्चित हुनेछन्।",भाषा कौशल सामाजिक एकीकरणको माध्यम हो।,0,1,0,xlmr,rte,0.2077,0.7913,0.001,False,False,False,,,
RTE-Nepali_test_91,"विश्वविद्यालयले पनि घटनाप्रति माफी माग्दै भन्यो, ""[हामी] यो घटना भएकोमा धेरै दुःखी छौं र व्यक्तिलाई कानुन अनुसार कारबाही गरिनेछ। विश्वविद्यालय छलफल, बहस र विचार-विमर्शका लागि हो, जुत्ता फाल्नेका लागि होइन।"" अधिकारीहरूका अनुसार, प्रधानमन्त्रीलाई कुनै वास्तविक खतरा थिएन। उक्त व्यक्ति फेब्रुअरी १० मा न्यायाधीश समक्ष उपस्थित हुनेछन्।",एक व्यक्तिले प्रधानमन्त्रीमाथि जुत्ता हाने।,0,1,0,xlmr,rte,0.0015,0.9982,0.0002,False,False,True,,,
RTE-Nepali_test_101,"अनुमानहरूमा धेरै भिन्नता छ, तर ग्रामीण र शहरी भारतका घरहरू, कारखानाहरू, पसलहरू, खेतहरू, वेश्यालयहरू र सडकहरूमा १० करोडसम्म बालबालिका काम गरिरहेका छन् भन्ने विश्वास गरिन्छ।",एसियामा बाल श्रमको व्यापक प्रयोग गरिन्छ।,0,1,0,xlmr,rte,0.003,0.9959,0.0011,False,False,False,,,
RTE-Nepali_test_490,श्रोडर इन्भेस्टमेन्ट म्यानेजमेन्टले रिटेलर मार्क्स एण्ड स्पेन्सर किन्नको लागि रिभाइभलको प्रस्ताव स्वीकार गर्ने आफ्नो मनसाय व्यक्त गरेको छ।,रिभाइभलले मार्क्स एण्ड स्पेन्सर ग्रुपलाई आफ्नो नियन्त्रणमा लिने प्रयास गर्छ।,0,1,0,xlmr,rte,0.0119,0.9867,0.0013,False,False,False,,,
RTE-Nepali_test_406,"शहरको दक्षिणपूर्वी छेउमा, सोचिमिन्को, शहरले समाहित गरेको अर्को सानो शहर, यसको चिनाम्पास, वा ","सोचिमिन्को यसको चिनाम्पास, वा तैरिने बगैँचाका कारण एक लोकप्रिय पर्यटकीय गन्तव्य हो।",0,1,0,xlmr,rte,0.0006,0.9991,0.0003,False,False,False,,,
RTE-Nepali_test_189,"यद्यपि, अलास्का ज्वालामुखी वेधशालाका पीटर सेर्भेलिले भने कि ""एन्कोरेजले बुलेटलाई चकाउन सक्छ"" र विस्फोटबाट अछूत रहन सक्छ। राष्ट्रिय मौसम सेवाका डेभ स्ट्रिक्लानले राम्रो खरानीको ""हल्का धुलो"" ले हवाई यात्रामा बाधा पुर्‍याउने तर जमिनमा रहेका मानिसहरूलाई गम्भीर रूपमा असर नगर्ने भविष्यवाणी गरे। हिलोको प्रवाहले ड्रिफ्ट र क्रिसेन्ट नदीहरूलाई असर गर्न सक्छ। माउन्ट रेडआउट अन्तिम पटक सन् १९८९ को अन्त्यमा विस्फोट भएको थियो, जसले तेल रिफाइनरीलाई जोखिममा पार्ने हिलोको प्रवाह निम्त्यायो जबकि विस्फोटबाट निस्केको खरानीले उडान गरिरहेको विमानको इन्जिनलाई रोकिदियो। १६० मिलियन अमेरिकी डलर बराबरको क्षति भएको अनुमान गरिएको थियो।",अलास्काको ज्वालामुखी वेधशाला पीटर सेर्भेलिको रोजगारदाता हो।,0,1,0,xlmr,rte,0.008,0.9917,0.0003,False,False,True,,,
RTE-Nepali_test_20,"क्रोएसियालीले प्रतिस्पर्धाको सामना गर्नेछ, विशेष गरी चिनियाँ मूलका अमेरिकी, माइकल चाङ, जो प्रतियोगितामा दोस्रो वरीयताका खेलाडी हुन्। आयोजकहरूले आशा गरेका छन् कि यस प्रतियोगिताले उनीहरूको देशहरूमा टेनिसको विकासमा योगदान पुर्याउनेछ।","क्रोएसियाली र एसियाली-अमेरिकी, माइकल चाङ (नम्बर दुई) एकअर्कासँग खेल्नेछन्, र आशा छ कि यसले उनीहरूको गृहनगरमा खेललाई लोकप्रिय बनाउनेछ।",0,1,0,xlmr,rte,0.0517,0.948,0.0003,False,False,False,,,
