instance_id,premise,hypothesis,true_label,pred_label,correct,raw_response,is_parse_fail,model,dataset,flag_romanization,flag_codeswitching,flag_negation,taxonomy_tier,annotator_note,annotator_id
MNLI-Nepali_test_2267,तपाईंले बिहान र ढिलो दिउँसो खुला हावामा दर्शनीय स्थलको यात्रा गर्ने प्रयास गर्नुहोस्।,दिउँसोको खानाको समयमा खुला हावामा दर्शनीय स्थलको यात्रा सिफारिस गरिँदैन।,0,2,0,contradiction,False,llama-3.1-8b,mnli,False,False,True,,,
MNLI-Nepali_test_8707,२७ प्रस्तुत गरिएका सबै तथ्याङ्कहरू मार्ग प्रकार बाहेक २८ क्वार्टाइलहरूमा मोनोटोनिक छन्।,मार्ग प्रकार क्वार्टाइलहरूमा मोनोटोनिक छैन।,0,2,0,contradiction,False,llama-3.1-8b,mnli,False,False,True,,,
MNLI-Nepali_test_6773,यो त्यहीँ छ।,त्यो त्यहाँ छ।,0,1,0,neutral,False,llama-3.1-8b,mnli,False,False,False,,,
MNLI-Nepali_test_1329,"हेर्नुहोस्, त्यो नै इमानदारताका साथ एक मात्र कारण हो म चलचित्र हेर्न चाहन्न किनभने मलाई कुनै अनौठो कारणले गर्दा बफेलोहरू मन पर्छन् र मलाई थाहा छ तिनीहरू नक्कली हुन्।","मलाई बफेलोहरू मन पर्छन्, र मलाई थाहा छ ती वास्तविक होइनन्।",0,2,0,contradiction,False,llama-3.1-8b,mnli,False,False,True,,,
MNLI-Nepali_test_4907,"यो 'उनीहरूमा निर्भर छ'—जस्तो तपाईं यहाँ भन्नुहुन्छ। त्यसपछि, अचानक, उनले सोधे: 'तपाईं औँलाका छापहरूका न्यायाधीश हुनुहुन्छ, मेरा साथी?'",के तपाईं औँलाका छापहरूको न्याय गर्न सक्षम हुनुहुन्छ?,0,1,0,neutral,False,llama-3.1-8b,mnli,False,False,False,,,
MNLI-Nepali_test_6697,स्पेनी कानूनअनुसार डाइभिङ अनुमति आवश्यक छ।,स्पेनी कानूनअनुसार ड्राइभिङ अनुमति आवश्यक छ।,0,1,0,neutral,False,llama-3.1-8b,mnli,False,False,False,,,
MNLI-Nepali_test_9133,मेरो बारेमा के?,म पनि?,0,1,0,neutral,False,llama-3.1-8b,mnli,False,False,False,,,
MNLI-Nepali_test_3258,मचिकोपछि सडक भित्री भागतिर लाग्छ।,मचिकोपछि सडक समुद्रबाट टाढा जान्छ।,0,1,0,neutral,False,llama-3.1-8b,mnli,False,False,False,,,
MNLI-Nepali_test_1642,(एउटा चार्टर कम्पनीले दाबी गर्यो कि त्यसका सबै किन्डरगार्टेनका विद्यार्थीहरू पढ्न सक्थे जब कि धेरैजसो सक्दैनथे।),एक चार्टर स्कूलले भन्यो कि उनीहरूका सबै किन्डरगार्टेनका विद्यार्थीहरू साक्षर थिए जबकि धेरैजसो थिएनन्।,0,2,0,contradiction,False,llama-3.1-8b,mnli,False,False,True,,,
MNLI-Nepali_test_1155,"प्रस्तावित कानून पराजित भयो, तर संयुक्त राज्य अमेरिकामा उपस्थित वाक्यांशले पहिलेका विधानहरूमा पाइने निवासको भाषालाई प्रतिस्थापन गर्यो।",कानून पारित नभए पनि यसले केही विधानहरूको भाषालाई प्रभाव पार्यो।,0,1,0,neutral,False,llama-3.1-8b,mnli,False,False,False,,,
