instance_id,premise,hypothesis,true_label,pred_label,correct,model,dataset,conf_label0,conf_label1,conf_label2,flag_romanization,flag_codeswitching,flag_negation,taxonomy_tier,annotator_note,annotator_id
RTE-Nepali_test_153,"स्कारफेस नामले चिनिने एक युवा बन्दुकधारीलाई एक आशाजनक किशोर फुटबलरको हत्याको लागि आजीवन कारावासको सजाय सुनाइएको छ। रिचर्ड ह्यारिसन-एलन, २०, ले एटेम सेलेबीलाई नोभेम्बर २००७ मा गोली हानेर मारे जब उनले उत्तरी लन्डनको स्टोक न्यूइङ्गटन, स्माली क्लोज इस्टेटबाट भाग्ने प्रयास गरेका थिए। ह्याकनी, पूर्वी लन्डनका गिरोह सदस्य ह्यारिसन-एलनलाई यस महिनाको सुरुमा किशोरको हत्याको दोषी ठहर गरिएको थियो, र सेन्ट अल्बान्स क्राउन कोर्टमा कम्तीमा २६ वर्षको सजाय सुनाइयो। सजाय सुनाउँदा उनी निस्क्रीय रूपमा बसे।","""स्कारफेस"" रिचर्ड ह्यारिसन-एलनको उपनाम हो।",0,1,0,mdeberta,rte,0.389,0.583,0.0284,False,False,False,,,
RTE-Nepali_test_415,"बुधवार सार्वजनिक गरिएको राष्ट्रिय रिपोर्ट कार्ड अनुसार एरिजोनाले अन्य धेरै राज्यहरू भन्दा राम्रो मानसिक-स्वास्थ्य हेरचाह प्रदान गर्दछ, तर अझै पनि पीडित मानिसहरूलाई सेवा पुर्याउन संघर्ष गरिरहेको छ। राष्ट्रिय मानसिक रोग गठबन्धनले एरिजोनालाई 'सी' ग्रेड दियो, जुन तीन वर्ष अघि राज्यले प्राप्त गरेको 'डी' ग्रेडमा सामान्य सुधार हो, जुन अध्ययन अन्तिम पटक गरिएको थियो। एरिजोना 'सी' ग्रेड पाउने १८ राज्यहरूमध्ये एक थियो। राष्ट्रिय औसत 'डी' थियो। छवटा राज्यले 'बी' प्राप्त गरे; कसैले पनि 'ए' प्राप्त गरेन।",एरिजोना र अन्य १७ राज्यहरूले मानसिक-स्वास्थ्य हेरचाहको क्षेत्रमा 'सी' ग्रेड प्राप्त गरे।,0,1,0,mdeberta,rte,0.1954,0.564,0.2404,False,False,False,,,
RTE-Nepali_test_466,युएसए ट्र्याक एण्ड फिल्डका सामान्य सल्लाहकार जिल पिल्ग्रिमले खेलकुद वकिलहरूको सम्मेलनमा महिला खेलकुदसम्बन्धी एक प्यानलमा यो मुद्दा उठाए। पिल्ग्रिमले भने कि लिङ्ग परिवर्तनका अपरेसनहरू सामान्य हुँदै जाँदा कानुनी रूपमा को महिला मानिन्छ भन्ने बारेको कानून परिवर्तन भइरहेको छ।,लिङ्ग परिवर्तनका अपरेसनहरू सामान्य हुँदै गएका छन्।,0,1,0,mdeberta,rte,0.2148,0.7754,0.0098,False,False,False,,,
RTE-Nepali_test_101,"अनुमानहरूमा धेरै भिन्नता छ, तर ग्रामीण र शहरी भारतका घरहरू, कारखानाहरू, पसलहरू, खेतहरू, वेश्यालयहरू र सडकहरूमा १० करोडसम्म बालबालिका काम गरिरहेका छन् भन्ने विश्वास गरिन्छ।",एसियामा बाल श्रमको व्यापक प्रयोग गरिन्छ।,0,1,0,mdeberta,rte,0.297,0.6895,0.0136,False,False,False,,,
RTE-Nepali_test_429,हिप्पोपोटामसहरू प्रायः मानिसहरूसँग द्वन्द्वमा आउँछन्।,हिप्पोपोटामसले मानिसलाई आक्रमण गर्छ।,0,1,0,mdeberta,rte,0.2402,0.7505,0.0091,False,False,False,,,
RTE-Nepali_test_30,"मङ्गलबार ढिलो, अमेरिकी राज्य टेक्सासका अधिकारीहरूले जोसे मेडेलिनलाई मृत्युदण्ड दिए, जो एक मेक्सिकन नागरिक थिए र १९९३ मा दुई किशोरी केटीहरूको बलात्कार र हत्याको आरोपमा दोषी ठहरिएका थिए। अन्तर्राष्ट्रिय न्याय अदालत (आईसीजी) र संयुक्त राष्ट्रसंघका महासचिव बान की-मुनको आपत्तिसहित अन्तर्राष्ट्रिय कानुनी विवादको केन्द्रबिन्दुमा रहे पनि यो मृत्युदण्ड कार्यान्वयन गरियो। जोसे अर्नेस्टो मेडेलिन, ३३, मेक्सिकोमा जन्मेका थिए तर बच्चा छँदै अमेरिका सरेका थिए। उनलाई टेक्सासको ह्युस्टनमा १९९३ मा १४ र १६ वर्षका दुई केटीहरूको बलात्कार र हत्याको लागि मृत्युदण्डको सजाय सुनाइएको थियो। मङ्गलबार राति ९:५७ बजे सीडीटीमा, उनलाई हन्ट्स्विलको हन्ट्स्विल युनिटमा घातक इंजेक्शन दिइयो, टेक्सास डिपार्टमेन्ट अफ क्रिमिनल जस्टिसका अनुसार।",जोसे मेडेलिनलाई हन्ट्स्विल जेलमा मृत्युदण्ड दिइएको थियो।,0,2,0,mdeberta,rte,0.1554,0.1476,0.697,False,False,False,,,
RTE-Nepali_test_146,"बोक्सीको घण्टा बित्यो र शनिबार विश्वभरका पुस्तक पसलहरूमा पोटरका प्रशंसकहरू ओइरिए, शृङ्खलाको पछिल्लो किस्ताको प्रतिलिपिहरू खोस्दै जसले इतिहासमा सबैभन्दा छिटो बिक्री हुने पुस्तक बन्ने वाचा गर्दछ।",पुस्तक किन्नको लागि पोटरका प्रशंसकहरू द्रुत रूपमा काउन्टरमा पुगे।,0,1,0,mdeberta,rte,0.2742,0.681,0.0445,False,False,False,,,
RTE-Nepali_test_486,यो कोलाहल लगभग ७५० मिलियनदेखि ६०० मिलियन वर्ष पहिलेको हिमनदी कालको बारेमा हो।,करिब ७५० मिलियनदेखि ६०० मिलियन वर्ष पहिले एउटा हिमनदी काल आएको थियो।,0,1,0,mdeberta,rte,0.317,0.664,0.0187,False,False,False,,,
RTE-Nepali_test_15,"यो समूहले, निशस्त्रीकरण, वातावरणीय, शान्ति र धार्मिक संस्थाहरूको व्यापक गठबन्धनका साथ, फ्रान्सेली कम्पनीहरूमाथि आर्थिक प्रभाव पार्न र चिराकलाई सबै आणविक हतियार परीक्षणहरू अन्त्य गर्न प्रोत्साहित गर्न बहिष्कारले दबाब दिने अपेक्षा गरेको छ।",फ्रान्सेली आणविक परीक्षणहरू अन्त्य गर्न अन्तर्राष्ट्रिय दबाब दिइएको छ।,0,1,0,mdeberta,rte,0.319,0.6646,0.0166,False,False,False,,,
RTE-Nepali_test_357,"यद्यपि उनले सत्ताधारी दलले अहिलेसम्म पाएको सबैभन्दा कम बहुमत, ४८.७% मतका साथ जितेका थिए, उनको मत दक्षिणपन्थी उपविजेता डिएगो फर्नान्डिज डे सेभालोसको भन्दा लगभग दोब्बर थियो। र आगामी महिनाहरूमा अन्य ल्याटिन अमेरिकी चुनावहरू जित्नका लागि भित्री व्यक्तिहरूलाई अहिले मन पराइएको छ: ब्राजिलमा, पूर्व सिनेट नेता र क्याबिनेट मन्त्री फर्नान्डो हेनरिक कार्डोसोले राष्ट्रपतिको पहिलो चरणमा बाहिरी व्यक्ति लुइस इनासियो (लुला) दा सिल्भा, एक वामपन्थी पूर्व श्रम नेताभन्दा अगाडि रहने अपेक्षा गरिएको छ।",फर्नान्डो हेनरिक कार्डोसो ब्राजिलका पूर्व सिनेट नेता र क्याबिनेट मन्त्री हुन्।,0,1,0,mdeberta,rte,0.35,0.3684,0.2815,False,False,False,,,
