instance_id,premise,hypothesis,true_label,pred_label,correct,model,dataset,conf_label0,conf_label1,conf_label2,flag_romanization,flag_codeswitching,flag_negation,taxonomy_tier,annotator_note,annotator_id
MNLI-Nepali_test_1309,"ठिकै छ, कति राम्रो, त्यो महान् छ।",त्यो सुन्न राम्रो लाग्यो।,0,1,0,xlmr,mnli,0.0137,0.9853,0.001,False,False,False,,,
MNLI-Nepali_test_6057,एक व्यक्तिले आफूलाई समेत स्वीकार नगरी क्रूरतापूर्वक कुटिल तरिकाले कार्य गर्न पूर्ण रूपमा सम्भव छ।,आफूलाई पनि इन्कार गरे पनि कसैलाई रुखो व्यङ्ग्यात्मक हुन असम्भव छैन।,0,2,0,xlmr,mnli,0.4225,0.0049,0.5726,False,False,True,,,
MNLI-Nepali_test_9357,"एकदमै सन्तोषजनक, उनले टपेन्सलाई सानो स्वरमा भने।","टपेन्सले जे सुझाव दियो, त्यही पुग्नेछ।",0,1,0,xlmr,mnli,0.0011,0.9979,0.001,False,False,False,,,
MNLI-Nepali_test_9609,"जोन भन्दा फरक, उनले आफ्नो उपस्थिति लुकाउन खासै केही गरेनन्।",जोनले धेरै लुकाए तापनि उनले आफ्नो उपस्थिति लुकाउन खासै केही गरेनन्।,0,1,0,xlmr,mnli,0.4118,0.5867,0.0015,False,False,False,,,
MNLI-Nepali_test_4039,किनभने उनीहरूले सोचे कि अरू सबैजना त्यहाँ मात्र आउँदैछन्।,उनीहरूलाई लाग्छ कि उनीहरू त्यहाँ ठाउँ पाउनको लागि मात्र आइरहेका छन्।,0,1,0,xlmr,mnli,0.0081,0.9912,0.0007,False,False,False,,,
MNLI-Nepali_test_309,"आखिर, यदि तपाईंसँग वास्तवमा नभएको पैसा खर्च गर्नु समृद्धिको कुञ्जी हो भने, ठूला सरकारी घाटाले पनि त्यस्तै काम गर्नेछ।","यदि ऋणमा डुब्दा राम्रो आर्थिक अवस्थाको परिणाम आयो भने, राष्ट्रिय घाटा बढाउनु एक व्यवहार्य रणनीति हुनेछ।",0,2,0,xlmr,mnli,0.126,0.013,0.861,False,False,True,,,
MNLI-Nepali_test_5745,"जुलाई र अगस्टमा ग्रीष्मको प्रचण्ड गर्मीको उचाईमा ओ-बोन हुन्छ, जुन दिवंगत पुर्खाहरूको आत्माको सम्मान गर्ने एक रङ्गीन र आनन्दमय राष्ट्रिय बौद्ध उत्सव हो।",जुलाई र अगस्ट सबैभन्दा तातो महिना हुन्।,0,1,0,xlmr,mnli,0.0031,0.9959,0.0009,False,False,False,,,
MNLI-Nepali_test_7663,"यदि उनको सिद्धान्त सत्य भएको भए, एडमन्ड हिलारीको सगरमाथा आरोहण नयाँ अक्सिजन ट्याङ्कीहरूको परीक्षण गर्ने इच्छाले उत्प्रेरित भएको हुनेथ्यो, र जोशुवा स्लोकमले विश्व परिक्रमा गरेको हुनेथ्यो ताकि लगातार-यात्राको माइल सङ्कलन गर्न सकियोस्।",उनको सिद्धान्त हास्यास्पद छ र यसलाई गम्भीरतापूर्वक लिनुहुँदैन।,0,1,0,xlmr,mnli,0.0362,0.9023,0.0615,False,False,True,,,
MNLI-Nepali_test_5627,"अस्वान शब्दको अर्थ प्राचीन इजिप्टियनमा वास्तवमा व्यापार वा बजार हो, जसले यसको सबैभन्दा प्रमुख गतिविधिलाई जनाउँछ।",अस्वानको अर्थ प्राचीन इजिप्टियनमा अहिलेभन्दा फरक छ।,0,1,0,xlmr,mnli,0.3927,0.6068,0.0004,False,False,False,,,
MNLI-Nepali_test_6043,"त्यति मात्र होइन, एकपटक कुनै अवस्था निदानको रूपमा स्थापित भएपछि, समाजले त्यसको बारेमा केही नगर्नुलाई अपराधको रूपमा व्यवहार गर्छ।",उपचार अगाडि बढाउन समाजले सामान्यतया निदानको मात्र वास्ता गर्छ।,0,2,0,xlmr,mnli,0.0026,0.0028,0.9946,False,False,True,,,
