instance_id,premise,hypothesis,label,true_label,pred_label,correct,model,dataset,flag_romanization,flag_codeswitching,flag_negation,taxonomy_tier,annotator_note,annotator_id
MNLI-Nepali_test_2067,"यस अवस्थामा, यो विधि प्रणाली-व्यापी र एकल केसको साथ सामान्यीकरण योग्य सिफारिसहरू दिन पर्याप्त थियो।",केही सिफारिसहरूले सम्पूर्ण प्रणालीलाई समेटेका थिए।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_8329,फ्रान्सेलीहरूलाई अल्प्समा खासै चासो थिएन जबसम्म १७८६ मा मोन्ट ब्लांकको विजयबाट पर्वतारोहणको क्रेज सुरु भएन।,"१७८६ मा मोन्ट ब्लांक चढेपछि, फ्रान्सेलीहरू अल्प्समा पर्वतारोहणमा मोहित भए।",0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_1816,को नाम अन्तर्गत ?,कुन नाम प्रयोग गरेर?,0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_5053,"सशस्त्र पुरुषहरूले दुई युवतीहरूको कपडा च्यातिदिए, तिनीहरूलाई नाङ्गै र काँपेको अवस्थामा छोडिदिए।",दुई नाङ्गा महिलाहरू चिसिएका थिए।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_794,"युवा लुई तेह्रौंका आमा मेरी डे मेडिसिसको राज्याधिकारमा देश अनिश्चिततामा फस्यो, जबसम्म कार्डिनल रिसेल्यूले १६२४ मा प्रधानमन्त्रीको पदभार सम्हालेनन्।",मेरी राम्रो नेता थिइनन्।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_9072,"हाम्रा कमाण्डर-इन-चीफको कामोत्तेजना नियन्त्रित छ, र उनी इराकबाट छुटकारा पाउनका लागि सुडानी औषधि कारखानाहरूमा बमबारी गरिरहेका छैनन् भनी थाहा पाउँदा हामी सबैले राम्रोसँग सुत्न सक्छौं।",कमाण्डर-इन-चीफको कामोत्तेजना उत्तम भन्दा कम छ।,0,0,2,0,chipsalbert,mnli,False,False,True,,,
MNLI-Nepali_test_6744,"हो, कुरा गर्न राम्रो लाग्यो, होइन, होइन, उनीहरूले तपाईंलाई मात्र परिभाषित गर्छन् र त्यसैले तपाईंले के पाउनुहुन्छ भन्ने कुरा भाग्यमा निर्भर गर्दछ, तर जे भए पनि, तपाईंलाई शुभकामना, बाइ-बाइ।","हाम्रो कुराकानी रमाइलो भयो, तपाईंको दिन शुभ रहोस्।",0,0,1,0,chipsalbert,mnli,False,False,True,,,
MNLI-Nepali_test_6364,मोनिका एक प्यारी जस्ती किन देखिइन् भन्ने एउटा कारण व्हाइट हाउस मौन हुनु हो।,व्हाइट हाउसले मोनिकाको बारेमा बोलेको छैन।,0,0,2,0,chipsalbert,mnli,False,False,True,,,
MNLI-Nepali_test_8094,"डब्लिन एउटा आत्मीय शहर हो, शारीरिक रूपमा सानो तर कसिलो प्याक गरिएको, हिँड्नका लागि उत्तम ठाउँ।",डब्लिन पैदल यात्राका लागि बनेको घना शहर हो।,0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_1686,"यो अहिले अझ कम सत्य हो - र यो यस कारणले होइन कि अमेरिका, परम्परागत बहुलवादी सूत्रमा, राष्ट्रहरूको राष्ट्र हो, विभिन्न डायस्पोराहरूको लागि एक तटस्थ होल्डिङ पेन हो; न त यस कारणले हो कि अमेरिका कुनै अमानवीय, एकल-मोल्ड पिघलने भाँडो हो।",यो यस कारणले होइन कि यो देश एक प्रकारको समरूप समाज हो।,0,0,2,0,chipsalbert,mnli,False,False,True,,,
MNLI-Nepali_test_9714,"ग्रिल रुम? टमीले सोधे, जब तिनीहरू सुरक्षित रूपमा विपरीत फुटपाथमा पुगे।",उनीहरू सुरक्षित रूपमा सडक पार गरे र टमीले ग्रिल रुमबारे सोधे।,0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_812,अर्को आधा शताब्दीले हामीलाई अझ राम्रोसँग बोल्न सकोस्।,आगामी पचास वर्षले हामीलाई अझ राम्रो प्रकाशमा देखाओस्।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_5698,"मैले यस्तो खाना खाएको लामो समय भयो,"" जोनले भने।",उनले भने कि उनले त्यस्तो खाना लामो समयदेखि खाएका थिएनन्।,0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_2326,स्कुपहरू प्रायः रुड्डी र इभान्स-प्रिचर्डद्वारा पुनः प्रयोग गरिएका लेखहरू हुन्।,रिपोर्ट गरिएका समाचार कथाहरू रुड्डी र इभान्स-प्रिचर्डद्वारा पुनः प्रयोग गरिएका हुन्।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_5270,"१९९२-९३ को अनिकालमा नरसंहारको केन्द्रीय निर्देशन थिएन, र यसका पीडितहरूलाई जात, जाति, राष्ट्रियता, वा धर्मको आधारमा हत्या गरिएको थिएन।","नरसंहारमा, पीडितहरूलाई जात, जाति, राष्ट्रियता, वा धर्मको आधारमा हत्या गरिन्छ।",0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_9811,उसले पछि लागेका दुई जना मानिसलाई तीस फिट टाढाबाट नछोइकन घाँटी निमोठेको एउटा अचानक दृश्य देख्यो।,"अचानक, उसले पछि लागेका मानिसहरूलाई टेलिकिनेसिस प्रयोग गरेर घाँटी निमोठेको कल्पना गर्यो।",0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_897,ड्यानियलकी दोस्रो पत्नी उनको होमिसाइड सह-कलाकार इसाबेला होफम्यान हुन्।,ड्यानियलले इसाबेला होफम्यानसँग विवाह गरे।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_6183,नाममात्र ब्याज नाममात्र रकम (फेस रकम) र प्रत्यक्ष ऋणको ब्याज दर (ऋण सम्झौतामा उल्लेख गरिएको दर) बराबर हुन्छ।,ब्याज दर फेस रकमलाई ब्याज दरले गुणा गरेर गणना गरिन्छ।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_9824,"यस दुर्गम, विरलै जनसंख्या भएको टापुका विशाल, ठाडो समुद्री चट्टानहरू कालाउपापामा फादर डामियनले स्थापना गरेको कुष्ठरोग उपनिवेशको लागि पृष्ठभूमि हुन्, जहाँ खच्चरबाट पुग्न सकिन्छ।",त्यहाँ एउटा उपनिवेश छ जहाँ खच्चरबाट मात्र पुग्न सकिन्छ।,0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_2992,पश्चिम टेक्सासका,त्यसैले तपाईं पश्चिम टेक्सासबाट हुनुहुन्छ?,0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_1035,यस उल्लेखनीय कार्यका ७० टुक्राहरू १०० को मूल सङ्ख्यामध्ये बाँकी छन्।,"मूल रूपमा बनाइएका १०० मध्ये, यस उल्लेखनीय कार्यका ७० टुक्राहरू बाँचेका छन्।",0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_1091,"ती मध्ये केही देशहरू यति सुरक्षित थिए कि त्यो अवास्तविक थियो। सिंगापुर धेरै सुरक्षित मानिन्छ र वास्तवमा टोकियो, र मलाई लाग्यो कि टोकियो यति ठूलो शहर भएकोले धेरै मानिसहरूको कारण खतरनाक हुन सक्छ।",सिंगापुर र टोकियो बस्नका लागि धेरै सुरक्षित ठाउँहरू हुन्।,0,0,2,0,chipsalbert,mnli,False,False,False,,,
