instance_id,premise,hypothesis,true_label,pred_label,correct,model,dataset,conf_label0,conf_label1,conf_label2,flag_romanization,flag_codeswitching,flag_negation,taxonomy_tier,annotator_note,annotator_id
MNLI-Nepali_test_9019,वा हराएको।,ऊ हराएको छ।,0,1,0,mdeberta,mnli,0.3765,0.5923,0.0314,False,False,False,,,
MNLI-Nepali_test_9970,क्याथेड्रल र हाइ स्ट्रिटबाट अदालतको प्रवेशद्वार बीचमा मर्काट क्रोस छ।,क्याथेड्रलबाट धेरै टाढा नभई अदालतहरू छन्।,0,1,0,mdeberta,mnli,0.4287,0.5596,0.0115,False,False,False,,,
MNLI-Nepali_test_4013,"मतदाताहरू सायद अझै पनि त्यो प्लाईड शर्टमा प्रतिक्रिया गरिरहेका छन्, न्यासभिलका सफ्टवेयर उद्यमी टम ब्ल्याक भन्छन्।",मतदाताहरूले प्लाईड शर्टमा कडा प्रतिक्रिया देखाएका छन्।,0,1,0,mdeberta,mnli,0.3975,0.551,0.0519,False,False,False,,,
MNLI-Nepali_test_9552,"मलाई अचम्म लाग्छ… वा के यो साँच्चै सत्य हो कि उहाँ हामीसँग र हामीबीच हुनुहुन्छ, केही चुनिएका मानिसहरू बाहेक अरू कसैलाई थाहा छैन?","के उहाँ हामीसँगै, तर भेषमा हुन सक्नुहुन्छ?",0,1,0,mdeberta,mnli,0.202,0.6562,0.1415,False,False,True,,,
MNLI-Nepali_test_8770,यसमा टापुका वा भूमध्यसागरभरिकै केही उत्कृष्ट समुद्र तटहरू समावेश छन्।,टापुमा धेरै फरक समुद्र तटहरू छन्।,0,1,0,mdeberta,mnli,0.456,0.534,0.0101,False,False,False,,,
MNLI-Nepali_test_3158,जानकारी प्राप्त गर्नुहोस्।,जानकारीको माग छ।,0,1,0,mdeberta,mnli,0.1776,0.813,0.0092,False,False,False,,,
MNLI-Nepali_test_8176,मिडियाले अनुमान लगायो कि बुशले नैतिक मुद्दाहरूलाई बेवास्ता गरिरहेका थिए किनभने धार्मिक दायाँसँग कतै जाने ठाउँ थिएन।,बुशले नैतिक मुद्दाहरूलाई बेवास्ता गरे किनभने धार्मिक दायाँ कतै जाँदैन।,0,1,0,mdeberta,mnli,0.1256,0.872,0.0025,False,False,True,,,
MNLI-Nepali_test_7361,अनि के होला यदि बैनले स्टारलाई सल्लाह दिइरहेको भए?,अनि के होला यदि बैनले स्टारलाई सम्भावित कार्यविधिहरू सुझाव दिइरहेको भए?,0,1,0,mdeberta,mnli,0.4375,0.56,0.0022,False,False,False,,,
MNLI-Nepali_test_10103,"मंगल ध्रुवीय ल्यान्डर बचाउनुहोस् वा नबचाउनुहोस्, कसैले नासालाई भन्नुहोस् कि यसले मेरो ड्राइभवे बन्द गरिरहेको छ।",मंगल ध्रुवीय ल्यान्डर नासाको स्वामित्वमा छ।,0,2,0,mdeberta,mnli,0.1833,0.2715,0.545,False,False,False,,,
MNLI-Nepali_test_5085,"एकाग्रता-प्रतिक्रिया कार्यहरूको प्रयोग मार्फत अकाल मृत्यु, आकस्मिक कोठा भ्रमणहरू)",त्यसबाट धेरै अकाल मृत्युहरू हुन्छन्।,0,1,0,mdeberta,mnli,0.0577,0.9346,0.0077,False,False,False,,,
MNLI-Nepali_test_246,वरपरका केही बलिया मानिसहरू महिलाहरूले आफ्ना बन्दुकहरूको बारेमा सोध्दा एकदमै उत्साहित हुन्छन्।,महिलाहरूले बन्दुकको बारेमा टिप्पणी गर्दा सबै पुरुषहरू नर्भस रूपमा उत्साहित हुन सक्छन्।,0,2,0,mdeberta,mnli,0.0108,0.033,0.956,False,False,False,,,
MNLI-Nepali_test_3860,"उनले भनिन् कि मैले भनेँ, तपाईंलाई थाहा छ, महिलाहरूले के गर्न सक्छन् मलाई नभन्नुहोस्।",“मैले महिलाहरूको पक्षमा कुरा गरिनँ भनी उनले विरोध गरिन्।”,0,1,0,mdeberta,mnli,0.3826,0.5957,0.0216,False,False,False,,,
MNLI-Nepali_test_10087,"अहो, जाडो सुरु हुने थियो, अहो, सेप्टेम्बरमा जाडो सुरु हुने थियो, सेप्टेम्बरमा जाडो हुन थाल्थ्यो।",सेप्टेम्बरमा जाडो सुरु भएपछि शरद ऋतु समाप्त हुने थियो।,0,1,0,mdeberta,mnli,0.391,0.484,0.1248,False,False,False,,,
MNLI-Nepali_test_7042,"उनले अमेरिकी इतिहासका दुई सबैभन्दा महान्, वा यदि दुई सबैभन्दा महान् होइनन् भने पनि, चलचित्रहरू बनाए।",मैले अमेरिकी इतिहासका दुई उत्कृष्ट र दुई खराब चलचित्रहरू बनाएँ।,0,1,0,mdeberta,mnli,0.1985,0.731,0.0708,False,False,True,,,
MNLI-Nepali_test_4617,"यदि तपाईं उत्सुक चरा-पर्यवेक्षक हुनुहुन्न भने पनि, तपाईंले वनमा कोमल हिँडाइको आनन्द लिनुहुनेछ, जसमा नीलगई मृग, कालोबगरा, र चीतल (चितुवा मृग) का रोमाञ्चक बथानहरू हेर्ने मौका पाउनुहुनेछ।",जंगल वरपर धेरै हिँड्ने ठाउँहरू छन्।,0,1,0,mdeberta,mnli,0.0351,0.965,0.0003,False,False,False,,,
MNLI-Nepali_test_9099,ठीक छ र तिनीहरू या त त्यो लगाउँछन् वा तिनीहरू ड्रेस प्यान्ट र कालो टर्टलनेक वा सेतो टर्टलनेक लगाउँछन्।,कहिलेकाहीँ उनीहरू सेतो टर्टलनेकका साथ ड्रेस प्यान्ट लगाउँछन्।,0,1,0,mdeberta,mnli,0.1118,0.884,0.0039,False,False,False,,,
MNLI-Nepali_test_1992,"८० वटा घुमाउरा मार्गहरू जसलाई भोमिटोरिया भनिन्छ, बाट भित्र र बाहिर, कुलीन वर्ग र सामान्य मानिसहरू दुवै भालु, सिंह, बाघ, र चितुवाहरूलाई एकअर्कासँग र अपराधीहरू, युद्धबन्दीहरू, र (केही इतिहासकारहरूका अनुसार) इसाईहरूविरुद्ध लड्नको लागि भोकै राखेर हेर्न आउँथे।",बाघ र चितुवाहरूलाई कहिलेकाहीँ भोकै राखेर अपराधीहरूसँग लड्न प्रोत्साहित गरिन्थ्यो।,0,1,0,mdeberta,mnli,0.0038,0.9927,0.0037,False,False,False,,,
MNLI-Nepali_test_794,"युवा लुई तेह्रौंका आमा मेरी डे मेडिसिसको राज्याधिकारमा देश अनिश्चिततामा फस्यो, जबसम्म कार्डिनल रिसेल्यूले १६२४ मा प्रधानमन्त्रीको पदभार सम्हालेनन्।",मेरी राम्रो नेता थिइनन्।,0,1,0,mdeberta,mnli,0.0351,0.9575,0.0071,False,False,False,,,
MNLI-Nepali_test_9799,टोनी सुज (त्यसैले क्लिन्टनसँग सुज र सक्स हुनेछन्)।,ना/ना,0,2,0,mdeberta,mnli,0.1979,0.0454,0.757,False,False,False,,,
MNLI-Nepali_test_2048,शार्लोट स्क्वायर नयाँ सहरको गहना हो भन्न सकिन्छ।,शार्लोट स्क्वायर एउटा रत्न हो।,0,1,0,mdeberta,mnli,0.4773,0.521,0.0021,False,False,False,,,
MNLI-Nepali_test_5563,‘अनि यो को हो?’ उनले काम्दै गरेको क्रमिनलाई देखाइन्।,"उनले यो को हो भनी सोधिन्, यो संकेत गर्दै कि उनले क्रमिनलाई चिनेकी थिइनन्।",0,1,0,mdeberta,mnli,0.1669,0.56,0.2732,False,False,False,,,
MNLI-Nepali_test_10083,"बमबारीका पक्षधरहरूले आक्रमण तर्कको बोझ आफ्ना विरोधीहरूमा सार्नका लागि 'दण्डहीनता' शब्द प्रयोग गरेजस्तै, उनीहरू 'विश्वसनीयता' शब्दको प्रयोग गरेर प्रतिबद्धता तर्कको बोझ पनि सार्छन्।",आक्रमणको बोझ सार्न बमबारीका पक्षधरहरूले प्रायः 'दण्डहीनता' शब्द प्रयोग गर्छन्।,0,1,0,mdeberta,mnli,0.0386,0.957,0.0046,False,False,False,,,
MNLI-Nepali_test_6649,"र, तर, त्यो सायद अन्तिम ठूलो शिविर थियो, सायद मैले गरेको अन्तिम ठूलो क्याम्पिङ यात्रा हो, मैले केही वर्षदेखि ठूलो केही गरेको छैन।",म पहिले क्याम्पिङ गएको छु।,0,2,0,mdeberta,mnli,0.3657,0.0496,0.585,False,False,True,,,
MNLI-Nepali_test_9830,मैले सोचेँ कि यी दुई बीचमा धेरै कम सहानुभूति थियो।,मलाई यी दुई बीच धेरै सहानुभूति नभएको तथ्य मन पर्यो।,0,1,0,mdeberta,mnli,0.2262,0.7314,0.0422,False,False,True,,,
MNLI-Nepali_test_832,पुरुषहरू हमला गरिरहेका थिए।,पुरुषहरू उनीमाथि दौडिरहेका थिए।,0,1,0,mdeberta,mnli,0.3958,0.5547,0.0496,False,False,False,,,
MNLI-Nepali_test_3247,उम्म-हम् त्यो उनीबाट आएको हो।,त्यो उनीबाट जन्मिएको हो।,0,1,0,mdeberta,mnli,0.165,0.824,0.0108,False,False,False,,,
MNLI-Nepali_test_10027,अहिले प्रोमिस किपर्सले पुरुषहरूलाई परिवारको मुखियाको रूपमा आफ्नो भूमिका पुन: दाबी गर्न आग्रह गर्ने तरिका मन पराउँदैन।,प्रोमिस किपर्सले पुरुषहरूलाई परिवारको नेता बन्न प्रयास गर्छ।,0,2,0,mdeberta,mnli,0.0744,0.137,0.7886,False,False,True,,,
MNLI-Nepali_test_9934,लेखापरीक्षणमा विश्वास पुनस्र्थापना गर्न लगानीकर्ताहरूका लागि मात्र नभई समयक्रममा लेखा पेशाका लागि उत्कृष्ट व्यक्तिहरूलाई आकर्षित गर्न र कायम राख्न पनि आवश्यक छ भन्ने कुरा स्वीकार गरिएको थियो।,लेखापरीक्षणमा विश्वास धेरै कारणले महत्त्वपूर्ण छ।,0,1,0,mdeberta,mnli,0.3523,0.646,0.0017,False,False,False,,,
MNLI-Nepali_test_1806,"खैर, तपाईंलाई पकाउन आउँछ।",तपाईंलाई कसरी पकाउने भन्ने थाहा छ।,0,1,0,mdeberta,mnli,0.1174,0.8706,0.0127,False,False,False,,,
MNLI-Nepali_test_1721,कर्मचारी र/वा टाइमकिपरले कुनै पनि विसंगतिहरू तुरुन्तै सुपरभाइजरलाई खुलासा गर्नुपर्छ।,"कर्मचारी वा टाइमकिपरले आफ्नो सुपरभाइजरसँग कुरा गर्छन्, वा दुवैले गर्न सक्छन्।",0,1,0,mdeberta,mnli,0.416,0.5723,0.0116,False,False,False,,,
